rank,name,league_points,match_ids
1,Unknown,2038,"NA1_5269449400,NA1_5269415660,NA1_5269384285,NA1_5268769873,NA1_5268711549,NA1_5268654809,NA1_5268077440,NA1_5267146717,NA1_5267102243,NA1_5266048243"
2,Unknown,2038,"NA1_5269223878,NA1_5268977966,NA1_5267687558,NA1_5267665190,NA1_5265839260,NA1_5265760910,NA1_5265719745,NA1_5264858502,NA1_5264134274,NA1_5263542962"
3,Unknown,1858,"NA1_5268744532,NA1_5268369087,NA1_5268314573,NA1_5264982817,NA1_5264944515,NA1_5263906314,NA1_5263879512,NA1_5263510243,NA1_5263493821,NA1_5263238906"
4,Unknown,1783,"NA1_5268017534,NA1_5267977084,NA1_5267379185,NA1_5267300807,NA1_5267250820,NA1_5267204493,NA1_5267168697,NA1_5267146717,NA1_5265415835,NA1_5265382293"
5,Unknown,1709,"NA1_5258727900,NA1_5258698910,NA1_5258669355,NA1_5258652802,NA1_5258622816,NA1_5258589718,NA1_5258551233,NA1_5258511850,NA1_5258460672,NA1_5258399621"
6,Unknown,1687,"NA1_5269084409,NA1_5269033823,NA1_5268502196,NA1_5268481305,NA1_5267731173,NA1_5267661494,NA1_5267642663,NA1_5267603400,NA1_5267014697,NA1_5266993336"
7,Unknown,1674,"NA1_5268711549,NA1_5268665402,NA1_5268525454,NA1_5268498522,NA1_5268478290,NA1_5265593856,NA1_5264944515,NA1_5264933057,NA1_5264904551,NA1_5260539811"
8,Unknown,1661,"NA1_5268969670,NA1_5268296732,NA1_5268284332,NA1_5266939846,NA1_5266930381,NA1_5257605051,NA1_5257563475,NA1_5257553005,NA1_5255978491,NA1_5254803120"
9,Unknown,1619,"NA1_5265839260,NA1_5264335154,NA1_5264301667,NA1_5257467847,NA1_5257452257,NA1_5257436154,NA1_5257416850,NA1_5257386517,NA1_5257366984,NA1_5257324347"
10,Unknown,1608,"NA1_5266939846,NA1_5266915835,NA1_5266435542,NA1_5266416773,NA1_5266388875,NA1_5266338610,NA1_5266313747,NA1_5266279524,NA1_5259625366,NA1_5259606988"
11,Unknown,1602,"NA1_5269003276,NA1_5268984097,NA1_5268970816,NA1_5266721914,NA1_5266530338,NA1_5263745965,NA1_5260158888,NA1_5260099678,NA1_5257444807,NA1_5257426825"
12,Unknown,1595,"NA1_5269094995,NA1_5269012930,NA1_5267702047,NA1_5267678594,NA1_5267081891,NA1_5267054521,NA1_5264879293,NA1_5264857236,NA1_5264827346,NA1_5264808056"
13,Unknown,1579,"NA1_5269397117,NA1_5269355568,NA1_5269020358,NA1_5269003276,NA1_5268984097,NA1_5268580278,NA1_5266757054,NA1_5266673412,NA1_5266600834,NA1_5266433947"
14,Unknown,1536,"NA1_5268704712,NA1_5268673465,NA1_5268616322,NA1_5267495517,NA1_5267476390,NA1_5267455138,NA1_5267413012,NA1_5267370329,NA1_5267339867,NA1_5267300807"
15,Unknown,1535,"NA1_5264635465,NA1_5263906314,NA1_5263879512,NA1_5263846755,NA1_5263100825,NA1_5262452735,NA1_5262219651,NA1_5262189517,NA1_5262160634,NA1_5262138641"
16,Unknown,1523,"NA1_5269456439,NA1_5269316523,NA1_5269286759,NA1_5268744532,NA1_5268721832,NA1_5268656571,NA1_5268626929,NA1_5268119183,NA1_5268097204,NA1_5268057511"
17,Unknown,1499,"NA1_5268711549,NA1_5268665402,NA1_5268564398,NA1_5268466267,NA1_5268350261,NA1_5268339025,NA1_5268137708,NA1_5268112345,NA1_5268077440,NA1_5268041959"
18,Unknown,1480,"NA1_5269366931,NA1_5269316523,NA1_5269278758,NA1_5268711549,NA1_5268673465,NA1_5267320298,NA1_5267126786,NA1_5267108195,NA1_5267081891,NA1_5267053211"
19,Unknown,1465,"NA1_5268744532,NA1_5268721832,NA1_5268654809,NA1_5268341241,NA1_5268238954,NA1_5268112345,NA1_5268077440,NA1_5267955010,NA1_5267808013,NA1_5267300807"
20,Unknown,1460,"NA1_5269278758,NA1_5267977084,NA1_5267936002,NA1_5267313896,NA1_5266757054,NA1_5265952796,NA1_5265231828,NA1_5264468617,NA1_5263787310,NA1_5263159546"
21,Unknown,1458,"NA1_5269355568,NA1_5269338899,NA1_5268656571,NA1_5268626929,NA1_5268002790,NA1_5267948959,NA1_5265910489,NA1_5265875594,NA1_5265278181,NA1_5265066234"
22,Unknown,1454,"NA1_5269525448,NA1_5269510824,NA1_5269487220,NA1_5269456439,NA1_5269434952,NA1_5269401543,NA1_5269371561,NA1_5269223878,NA1_5269196751,NA1_5269139966"
23,Unknown,1432,"NA1_5269459841,NA1_5269415660,NA1_5269384285,NA1_5269205910,NA1_5268977966,NA1_5268801033,NA1_5268786713,NA1_5268756661,NA1_5268598884,NA1_5268406927"
24,Unknown,1389,"NA1_5268553970,NA1_5268518642,NA1_5268498522,NA1_5268481305,NA1_5268464780,NA1_5268425780,NA1_5268367571,NA1_5268340487,NA1_5268324085,NA1_5268274853"
25,Unknown,1363,"NA1_5268756661,NA1_5268626929,NA1_5267300807,NA1_5267258995,NA1_5267204493,NA1_5267168697,NA1_5267044644,NA1_5267003261,NA1_5266757054,NA1_5266721914"
26,Unknown,1353,"NA1_5268756661,NA1_5268721832,NA1_5268665402,NA1_5267642663,NA1_5264514245,NA1_5262601925,NA1_5262590036,NA1_5262540838,NA1_5262509626,NA1_5262477626"
27,Unknown,1347,"NA1_5269371561,NA1_5269316523,NA1_5267992676,NA1_5267462298,NA1_5267399651,NA1_5267093983,NA1_5266614359,NA1_5266576699,NA1_5264626802,NA1_5263893345"
28,Unknown,1331,"NA1_5269081050,NA1_5267585418,NA1_5267303756,NA1_5266681712,NA1_5263689889,NA1_5263660189,NA1_5263143587,NA1_5263119884,NA1_5263083607,NA1_5262138641"
29,Unknown,1329,"NA1_5268740939,NA1_5268333371,NA1_5267742132,NA1_5267663832,NA1_5267146717,NA1_5267089150,NA1_5264968772,NA1_5264487460,NA1_5264384452,NA1_5262957639"
30,Unknown,1329,"NA1_5268045416,NA1_5268018153,NA1_5267986958,NA1_5267955010,NA1_5267925906,NA1_5267898190,NA1_5267858848,NA1_5267827582,NA1_5267801168,NA1_5267776982"
